Year,Month,percent,regionId,date,regionName,
1914,Nov,-0.31,1,1914 Nov,Global,
1914,Dec,-0.2,1,1914 Dec,Global,
1915,Jan,-0.16,1,1915 Jan,Global,
1915,Feb,0.07,1,1915 Feb,Global,
1915,Mar,-0.09,1,1915 Mar,Global,
1915,Apr,-0.01,1,1915 Apr,Global,
1915,May,-0.21,1,1915 May,Global,
1915,Jun,-0.21,1,1915 Jun,Global,
1915,Jul,0.03,1,1915 Jul,Global,
1915,Aug,-0.19,1,1915 Aug,Global,
1915,Sep,-0.01,1,1915 Sep,Global,
1915,Oct,-0.09,1,1915 Oct,Global,
1915,Nov,0.05,1,1915 Nov,Global,
1915,Dec,-0.1,1,1915 Dec,Global,
1916,Jan,-0.06,1,1916 Jan,Global,
1916,Feb,-0.1,1,1916 Feb,Global,
1916,Mar,-0.44,1,1916 Mar,Global,
1916,Apr,-0.28,1,1916 Apr,Global,
1916,May,-0.34,1,1916 May,Global,
1916,Jun,-0.49,1,1916 Jun,Global,
1916,Jul,-0.36,1,1916 Jul,Global,
1916,Aug,-0.1,1,1916 Aug,Global,
1916,Sep,-0.17,1,1916 Sep,Global,
1916,Oct,-0.14,1,1916 Oct,Global,
1916,Nov,-0.36,1,1916 Nov,Global,
1916,Dec,-0.8,1,1916 Dec,Global,
1917,Jan,-0.52,1,1917 Jan,Global,
1917,Feb,-0.74,1,1917 Feb,Global,
1917,Mar,-0.79,1,1917 Mar,Global,
1917,Apr,-0.53,1,1917 Apr,Global,
1917,May,-0.8,1,1917 May,Global,
1917,Jun,-0.46,1,1917 Jun,Global,
1917,Jul,0,1,1917 Jul,Global,
1917,Aug,-0.38,1,1917 Aug,Global,
1917,Sep,-0.31,1,1917 Sep,Global,
1917,Oct,-0.49,1,1917 Oct,Global,
1917,Nov,-0.32,1,1917 Nov,Global,
1917,Dec,-0.94,1,1917 Dec,Global,
1918,Jan,-0.62,1,1918 Jan,Global,
1918,Feb,-0.58,1,1918 Feb,Global,
1918,Mar,-0.48,1,1918 Mar,Global,
1918,Apr,-0.55,1,1918 Apr,Global,
1918,May,-0.77,1,1918 May,Global,
1918,Jun,-0.43,1,1918 Jun,Global,
1918,Jul,-0.48,1,1918 Jul,Global,
1918,Aug,-0.46,1,1918 Aug,Global,
1918,Sep,-0.16,1,1918 Sep,Global,
1918,Oct,0.03,1,1918 Oct,Global,
1918,Nov,-0.24,1,1918 Nov,Global,
1918,Dec,-0.34,1,1918 Dec,Global,
1919,Jan,-0.28,1,1919 Jan,Global,
1919,Feb,-0.23,1,1919 Feb,Global,
1919,Mar,-0.1,1,1919 Mar,Global,
1919,Apr,-0.12,1,1919 Apr,Global,
1919,May,-0.15,1,1919 May,Global,
1919,Jun,-0.16,1,1919 Jun,Global,
1919,Jul,-0.07,1,1919 Jul,Global,
1919,Aug,-0.07,1,1919 Aug,Global,
1919,Sep,-0.18,1,1919 Sep,Global,
1919,Oct,-0.05,1,1919 Oct,Global,
1919,Nov,-0.42,1,1919 Nov,Global,
1919,Dec,-0.28,1,1919 Dec,Global,
1920,Jan,-0.1,1,1920 Jan,Global,
1920,Feb,-0.27,1,1920 Feb,Global,
1920,Mar,-0.16,1,1920 Mar,Global,
1920,Apr,-0.2,1,1920 Apr,Global,
1920,May,-0.31,1,1920 May,Global,
1920,Jun,-0.37,1,1920 Jun,Global,
1920,Jul,-0.2,1,1920 Jul,Global,
1920,Aug,-0.14,1,1920 Aug,Global,
1920,Sep,-0.15,1,1920 Sep,Global,
1920,Oct,-0.43,1,1920 Oct,Global,
1920,Nov,-0.33,1,1920 Nov,Global,
1920,Dec,-0.47,1,1920 Dec,Global,
1921,Jan,-0.01,1,1921 Jan,Global,
1921,Feb,-0.15,1,1921 Feb,Global,
1921,Mar,-0.11,1,1921 Mar,Global,
1921,Apr,-0.18,1,1921 Apr,Global,
1921,May,-0.18,1,1921 May,Global,
1921,Jun,-0.09,1,1921 Jun,Global,
1921,Jul,0.01,1,1921 Jul,Global,
1921,Aug,-0.46,1,1921 Aug,Global,
1921,Sep,-0.13,1,1921 Sep,Global,
1921,Oct,-0.09,1,1921 Oct,Global,
1921,Nov,-0.27,1,1921 Nov,Global,
1921,Dec,-0.18,1,1921 Dec,Global,
1922,Jan,-0.4,1,1922 Jan,Global,
1922,Feb,-0.46,1,1922 Feb,Global,
1922,Mar,-0.32,1,1922 Mar,Global,
1922,Apr,-0.11,1,1922 Apr,Global,
1922,May,-0.37,1,1922 May,Global,
1922,Jun,-0.32,1,1922 Jun,Global,
1922,Jul,-0.04,1,1922 Jul,Global,
1922,Aug,-0.24,1,1922 Aug,Global,
1922,Sep,-0.13,1,1922 Sep,Global,
1922,Oct,-0.25,1,1922 Oct,Global,
1922,Nov,-0.11,1,1922 Nov,Global,
1922,Dec,-0.15,1,1922 Dec,Global,
1923,Jan,-0.25,1,1923 Jan,Global,
1923,Feb,-0.21,1,1923 Feb,Global,
1923,Mar,-0.23,1,1923 Mar,Global,
1923,Apr,-0.47,1,1923 Apr,Global,
1923,May,-0.32,1,1923 May,Global,
1923,Jun,-0.27,1,1923 Jun,Global,
1923,Jul,-0.49,1,1923 Jul,Global,
1923,Aug,-0.36,1,1923 Aug,Global,
1923,Sep,-0.29,1,1923 Sep,Global,
1923,Oct,-0.08,1,1923 Oct,Global,
1923,Nov,-0.02,1,1923 Nov,Global,
1923,Dec,-0.08,1,1923 Dec,Global,
1924,Jan,-0.28,1,1924 Jan,Global,
1924,Feb,-0.42,1,1924 Feb,Global,
1924,Mar,-0.13,1,1924 Mar,Global,
1924,Apr,-0.5,1,1924 Apr,Global,
1924,May,-0.27,1,1924 May,Global,
1924,Jun,-0.16,1,1924 Jun,Global,
1924,Jul,-0.14,1,1924 Jul,Global,
1924,Aug,-0.16,1,1924 Aug,Global,
1924,Sep,-0.05,1,1924 Sep,Global,
1924,Oct,-0.13,1,1924 Oct,Global,
1924,Nov,-0.06,1,1924 Nov,Global,
1924,Dec,-0.28,1,1924 Dec,Global,
1925,Jan,-0.42,1,1925 Jan,Global,
1925,Feb,-0.35,1,1925 Feb,Global,
1925,Mar,-0.27,1,1925 Mar,Global,
1925,Apr,-0.15,1,1925 Apr,Global,
1925,May,-0.33,1,1925 May,Global,
1925,Jun,-0.4,1,1925 Jun,Global,
1925,Jul,-0.41,1,1925 Jul,Global,
1925,Aug,-0.08,1,1925 Aug,Global,
1925,Sep,-0.29,1,1925 Sep,Global,
1925,Oct,-0.34,1,1925 Oct,Global,
1925,Nov,-0.01,1,1925 Nov,Global,
1925,Dec,0.19,1,1925 Dec,Global,
1926,Jan,0.26,1,1926 Jan,Global,
1926,Feb,0.28,1,1926 Feb,Global,
1926,Mar,0.21,1,1926 Mar,Global,
1926,Apr,-0.11,1,1926 Apr,Global,
1926,May,-0.36,1,1926 May,Global,
1926,Jun,-0.21,1,1926 Jun,Global,
1926,Jul,-0.16,1,1926 Jul,Global,
1926,Aug,0.03,1,1926 Aug,Global,
1926,Sep,0.02,1,1926 Sep,Global,
1926,Oct,-0.11,1,1926 Oct,Global,
1926,Nov,0.04,1,1926 Nov,Global,
1926,Dec,-0.24,1,1926 Dec,Global,
1927,Jan,-0.18,1,1927 Jan,Global,
