Year,Month,percent,regionId,date,regionName
1912,Apr,-28,1,1912 Apr,Global
1912,May,-18,1,1912 May,Global
1912,Jun,-24,1,1912 Jun,Global
1912,Jul,-48,1,1912 Jul,Global
1912,Aug,-61,1,1912 Aug,Global
1912,Sep,-34,1,1912 Sep,Global
1912,Oct,-45,1,1912 Oct,Global
1912,Nov,-40,1,1912 Nov,Global
1912,Dec,-32,1,1912 Dec,Global
1913,Jan,-44,1,1913 Jan,Global
1913,Feb,-49,1,1913 Feb,Global
1913,Mar,-57,1,1913 Mar,Global
1913,Apr,-29,1,1913 Apr,Global
1913,May,-62,1,1913 May,Global
1913,Jun,-60,1,1913 Jun,Global
1913,Jul,-21,1,1913 Jul,Global
1913,Aug,-19,1,1913 Aug,Global
1913,Sep,-19,1,1913 Sep,Global
1913,Oct,-28,1,1913 Oct,Global
1913,Nov,-13,1,1913 Nov,Global
1913,Dec,7,1,1913 Dec,Global
1914,Jan,16,1,1914 Jan,Global
1914,Feb,-3,1,1914 Feb,Global
1914,Mar,-4,1,1914 Mar,Global
1914,Apr,-19,1,1914 Apr,Global
1914,May,-2,1,1914 May,Global
1914,Jun,-10,1,1914 Jun,Global
1914,Jul,-22,1,1914 Jul,Global
1914,Aug,-7,1,1914 Aug,Global
1914,Sep,-6,1,1914 Sep,Global
1914,Oct,14,1,1914 Oct,Global
1914,Nov,-31,1,1914 Nov,Global
1914,Dec,-20,1,1914 Dec,Global
1915,Jan,-16,1,1915 Jan,Global
1915,Feb,7,1,1915 Feb,Global
1915,Mar,-9,1,1915 Mar,Global
1915,Apr,-1,1,1915 Apr,Global
1915,May,-21,1,1915 May,Global
1915,Jun,-21,1,1915 Jun,Global
1915,Jul,3,1,1915 Jul,Global
1915,Aug,-19,1,1915 Aug,Global
1915,Sep,-1,1,1915 Sep,Global
1915,Oct,-9,1,1915 Oct,Global
1915,Nov,5,1,1915 Nov,Global
1915,Dec,-10,1,1915 Dec,Global
1916,Jan,-6,1,1916 Jan,Global
1916,Feb,-10,1,1916 Feb,Global
1916,Mar,-44,1,1916 Mar,Global
1916,Apr,-28,1,1916 Apr,Global
1916,May,-34,1,1916 May,Global
1916,Jun,-49,1,1916 Jun,Global
1916,Jul,-36,1,1916 Jul,Global
1916,Aug,-10,1,1916 Aug,Global
1916,Sep,-17,1,1916 Sep,Global
1916,Oct,-14,1,1916 Oct,Global
1916,Nov,-36,1,1916 Nov,Global
1916,Dec,-80,1,1916 Dec,Global
1917,Jan,-52,1,1917 Jan,Global
1917,Feb,-74,1,1917 Feb,Global
1917,Mar,-79,1,1917 Mar,Global
1917,Apr,-53,1,1917 Apr,Global
1917,May,-80,1,1917 May,Global
1917,Jun,-46,1,1917 Jun,Global
1917,Jul,0,1,1917 Jul,Global
1917,Aug,-38,1,1917 Aug,Global
1917,Sep,-31,1,1917 Sep,Global
1917,Oct,-49,1,1917 Oct,Global
1917,Nov,-32,1,1917 Nov,Global
1917,Dec,-94,1,1917 Dec,Global
1918,Jan,-62,1,1918 Jan,Global
1918,Feb,-58,1,1918 Feb,Global
1918,Mar,-48,1,1918 Mar,Global
1918,Apr,-55,1,1918 Apr,Global
1918,May,-77,1,1918 May,Global
1918,Jun,-43,1,1918 Jun,Global
1918,Jul,-48,1,1918 Jul,Global
1918,Aug,-46,1,1918 Aug,Global
1918,Sep,-16,1,1918 Sep,Global
1918,Oct,3,1,1918 Oct,Global
1918,Nov,-24,1,1918 Nov,Global
1918,Dec,-34,1,1918 Dec,Global
1919,Jan,-28,1,1919 Jan,Global
1919,Feb,-23,1,1919 Feb,Global
1919,Mar,-10,1,1919 Mar,Global
1919,Apr,-12,1,1919 Apr,Global
1919,May,-15,1,1919 May,Global
1919,Jun,-16,1,1919 Jun,Global
1919,Jul,-7,1,1919 Jul,Global
1919,Aug,-7,1,1919 Aug,Global
1919,Sep,-18,1,1919 Sep,Global
1919,Oct,-5,1,1919 Oct,Global
1919,Nov,-42,1,1919 Nov,Global
1919,Dec,-28,1,1919 Dec,Global
1920,Jan,-10,1,1920 Jan,Global
1920,Feb,-27,1,1920 Feb,Global
1920,Mar,-16,1,1920 Mar,Global
1920,Apr,-20,1,1920 Apr,Global
1920,May,-31,1,1920 May,Global
1920,Jun,-37,1,1920 Jun,Global
1920,Jul,-20,1,1920 Jul,Global
1920,Aug,-14,1,1920 Aug,Global
1920,Sep,-15,1,1920 Sep,Global
1920,Oct,-43,1,1920 Oct,Global
1920,Nov,-33,1,1920 Nov,Global
1920,Dec,-47,1,1920 Dec,Global
1921,Jan,-1,1,1921 Jan,Global
1921,Feb,-15,1,1921 Feb,Global
1921,Mar,-11,1,1921 Mar,Global
1921,Apr,-18,1,1921 Apr,Global
1921,May,-18,1,1921 May,Global
